TransactionID,CustomerID,TransactionDate,ProductID,Quantity,Amount,StoreID
1,997,2023-09-11 12:16:25,119,5,138.02,36
2,189,2024-04-15 12:43:33,25,4,59.84,38
3,517,2024-12-18 20:02:16,268,5,104.76,10
4,475,2024-09-24 08:49:06,84,1,268.72,4
5,153,2025-06-28 11:20:15,5,2,423.82,2
6,471,2024-04-24 04:10:03,338,3,257.47,11
7,452,2024-06-15 22:38:39,292,2,389.6,40
8,714,2025-08-11 00:09:56,20,2,37.2,47
9,459,2025-01-19 20:01:36,275,3,385.2,35
10,653,2025-02-07 12:56:24,283,2,271.8,19
11,380,2023-10-07 02:41:53,496,1,214.92,23
12,662,2025-07-13 12:51:40,367,2,418.44,6
13,521,2025-01-08 22:45:11,335,4,84.07,35
14,618,2025-07-18 19:37:59,203,5,388.52,12
15,622,2024-10-25 22:29:02,269,1,413.7,1
16,850,2025-01-28 17:17:04,355,5,429.3,10
17,946,2024-01-03 01:51:03,91,3,67.89,32
18,802,2025-02-24 00:21:41,271,1,41.26,36
19,912,2023-09-10 08:01:30,341,3,206.25,25
20,755,2024-10-26 22:43:59,353,4,297.3,34
21,673,2024-09-02 06:07:44,334,1,119.32,9
22,686,2023-11-19 08:50:08,442,1,24.56,16
23,568,2023-09-06 14:37:07,16,3,189.98,14
24,57,2024-08-16 06:52:31,461,4,415.85,19
25,301,2024-06-16 02:50:15,1,3,371.36,2
26,358,2023-11-09 22:37:40,296,3,33.11,37
27,120,2025-04-10 20:20:46,353,5,432.26,30
28,429,2024-07-17 08:45:52,485,3,282.68,35
29,525,2024-05-24 06:55:20,153,1,424.87,4
30,443,2024-01-03 16:58:34,281,2,411.53,29
31,565,2023-12-20 01:11:29,467,1,468.2,16
32,629,2023-11-24 22:06:53,231,4,100.03,25
33,864,2023-11-24 09:31:30,471,1,489.33,40
34,26,2025-01-26 06:47:48,52,5,188.52,18
35,547,2023-12-31 15:53:09,237,1,490.15,39
36,857,2025-01-03 22:39:11,12,2,421.19,2
37,887,2023-09-29 07:49:02,449,1,240.45,41
38,908,2024-07-15 07:23:49,328,3,348.81,1
39,880,2024-10-17 17:14:09,344,2,52.99,42
40,915,2024-05-05 15:15:53,460,2,275.58,42
41,838,2025-03-17 23:42:22,309,2,177.23,42
42,69,2025-07-30 10:35:01,132,5,14.4,41
43,62,2024-09-24 08:24:12,158,2,178.44,29
44,634,2025-03-31 06:14:53,371,1,109.06,3
45,23,2025-02-18 16:14:41,334,4,292.26,22
46,585,2025-07-26 18:09:59,188,4,37.66,36
47,541,2023-10-12 06:14:23,22,5,320.33,25
48,450,2024-08-20 15:48:14,205,5,490.0,2
49,680,2024-12-31 17:48:04,311,4,262.25,41
50,14,2024-04-15 18:31:02,157,4,239.24,43
51,405,2024-04-07 01:53:34,119,1,56.85,36
52,859,2024-05-31 16:26:34,147,5,200.86,37
53,806,2024-04-04 22:48:58,94,2,219.62,23
54,720,2024-09-03 21:08:21,320,2,20.81,27
55,526,2024-06-16 01:23:49,396,2,377.31,13
56,783,2024-04-15 16:28:55,79,2,409.64,42
57,48,2024-08-23 12:29:46,399,2,449.95,2
58,182,2025-07-11 07:32:23,107,4,396.07,5
59,808,2023-10-09 07:06:19,246,3,263.47,4
60,491,2024-11-29 05:37:00,67,2,14.8,17
61,178,2024-06-15 09:49:05,50,2,18.45,16
62,549,2024-08-11 15:16:06,410,2,320.15,29
63,87,2023-12-17 18:03:35,492,1,183.06,41
64,41,2024-01-16 23:59:31,344,3,275.76,4
65,866,2023-12-12 11:39:07,491,2,342.88,19
66,227,2025-07-02 02:28:20,211,2,354.68,15
67,379,2024-10-21 06:22:06,405,3,390.98,26
68,988,2024-06-24 13:22:50,463,1,460.17,27
69,62,2024-10-27 05:20:25,66,3,341.58,27
70,809,2024-12-07 08:53:47,148,1,379.82,13
71,702,2025-05-22 21:07:49,225,5,108.77,3
72,484,2024-01-31 02:27:12,224,3,365.58,20
73,286,2024-08-10 10:02:31,288,4,416.5,6
74,52,2024-08-10 12:37:03,34,2,269.7,37
75,884,2023-11-04 07:05:19,212,5,121.21,1
76,405,2023-09-17 01:37:46,175,3,400.22,29
77,95,2025-07-29 05:36:34,159,4,308.23,7
78,749,2024-08-18 09:22:33,386,4,219.25,50
79,612,2024-04-24 13:12:25,90,3,303.51,8
80,640,2023-09-30 03:39:18,446,4,267.97,29
81,974,2025-07-07 12:31:58,156,2,339.99,17
82,290,2024-01-13 11:28:30,305,2,210.16,16
83,902,2024-05-27 04:59:33,419,2,424.8,7
84,23,2024-03-06 12:54:58,232,5,114.45,36
85,737,2023-12-16 13:28:09,46,5,450.05,16
86,996,2024-02-26 02:33:47,473,2,491.26,6
87,203,2023-11-22 08:28:22,289,1,490.8,21
88,276,2024-05-19 19:56:34,300,3,272.64,19
89,709,2024-12-17 03:46:14,205,1,358.24,19
90,205,2024-01-13 06:49:37,188,3,419.18,19
91,422,2025-06-28 16:52:28,295,2,450.09,45
92,986,2024-05-28 19:50:04,58,3,123.93,9
93,867,2024-01-17 19:51:35,258,4,433.12,22
94,965,2025-02-19 11:19:12,452,3,420.81,32
95,317,2024-03-17 14:54:30,431,3,303.71,19
96,431,2023-10-16 20:43:39,192,3,432.44,33
97,311,2025-02-20 00:25:19,475,1,337.09,36
98,363,2024-09-02 03:52:18,359,3,418.07,41
99,728,2024-02-06 13:29:38,42,5,308.21,28
100,242,2025-05-19 18:36:05,236,4,420.26,25
101,113,2023-12-28 09:23:54,359,1,242.11,7
102,101,2025-08-04 13:00:02,167,5,169.42,50
103,161,2025-01-24 10:37:46,468,3,256.22,9
104,504,2025-07-05 07:59:03,4,4,68.61,1
