OrderID,OrderDateTime,StoreID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,PaymentID,PaymentMethod,Channel,Status,OrderTotal,Currency
1,2025-05-17T22:26:00,11,3115,136,1,42.89,0,PMT00000001,CASH,POS,Completed,42.89,INR
2,2025-06-14T05:22:00,2,1790,133,1,53.18,0,PMT00000002,CASH,POS,Completed,53.18,INR
3,2025-06-25T06:24:00,1,5360,53,5,62.28,0,PMT00000003,CARD,Online,Completed,311.4,INR
4,2025-04-13T16:46:00,11,700,15,1,64.63,0,PMT00000004,CASH,POS,Completed,64.63,INR
5,2025-07-28T21:41:00,3,2355,52,1,108.43,10,PMT00000005,UPI,POS,Completed,97.59,INR
6,2025-04-05T02:33:00,7,5803,228,1,64.99,10,PMT00000006,CARD,POS,Completed,58.49,INR
7,2025-07-29T02:58:00,3,1563,88,3,34.76,5,PMT00000007,WALLET,Online,Completed,99.06,INR
8,2025-04-07T00:12:00,7,2171,65,3,53.76,15,PMT00000008,CARD,Online,Completed,137.1,INR
9,2025-07-04T17:08:00,1,2097,43,1,74.89,10,PMT00000009,CARD,POS,Pending,67.4,INR
10,2025-04-25T00:46:00,6,2729,205,1,51.2,5,PMT00000010,CARD,Online,Completed,48.64,INR
11,2025-05-12T15:08:00,12,4835,244,1,15.49,0,PMT00000011,UPI,POS,Completed,15.49,INR
12,2025-06-13T01:14:00,7,1711,244,1,15.49,0,PMT00000012,CARD,POS,Completed,15.49,INR
13,2025-08-06T08:53:00,2,2062,206,1,22.75,20,PMT00000013,CASH,Online,Completed,18.2,INR
14,2025-04-21T21:48:00,7,69,61,1,91.39,0,PMT00000014,CARD,POS,Completed,91.39,INR
15,2025-06-01T14:49:00,11,650,39,1,47.29,0,PMT00000015,WALLET,POS,Completed,47.29,INR
16,2025-05-20T10:35:00,2,3264,71,1,40.04,0,PMT00000016,CARD,POS,Completed,40.04,INR
17,2025-07-28T08:54:00,12,147,200,1,82.0,0,PMT00000017,UPI,POS,Completed,82.0,INR
18,2025-06-27T14:45:00,9,2799,75,4,65.89,0,PMT00000018,CASH,POS,Completed,263.56,INR
