PaymentID,OrderID,Amount,Currency,Method,Gateway,Status,AuthCode,FraudScore
PMT00000001,1,42.89,INR,CASH,Razorpay,Captured,0AP00G5X,0.219
PMT00000002,2,53.18,INR,CASH,PayU,Captured,OTB1PPQV,0.278
PMT00000003,3,311.4,INR,CARD,Stripe,Captured,6ONRV537,0.08
PMT00000004,4,64.63,INR,CASH,Razorpay,Captured,19ETPG2O,0.006
PMT00000005,5,97.59,INR,UPI,Cashdesk,Captured,G7I2HVIK,0.103
PMT00000006,6,58.49,INR,CARD,Cashdesk,Captured,48U9ZYAW,0.057
PMT00000007,7,99.06,INR,WALLET,Stripe,Captured,5LFKEMR4,0.161
PMT00000008,8,137.1,INR,CARD,Stripe,Captured,3MT2MD8W,0.149
PMT00000009,9,67.4,INR,CARD,PayU,Pending,86TAIP1K,0.029
PMT00000010,10,48.64,INR,CARD,Stripe,Captured,U8PT8TAG,0.074
PMT00000011,11,15.49,INR,UPI,PayU,Captured,E57B6WZL,0.083
PMT00000012,12,15.49,INR,CARD,Cashdesk,Captured,UE3U1F5R,0.12
PMT00000013,13,18.2,INR,CASH,Cashdesk,Captured,LNOUE6UL,0.223
PMT00000014,14,91.39,INR,CARD,Razorpay,Captured,GUAALZGR,0.166
PMT00000015,15,47.29,INR,WALLET,Cashdesk,Captured,FFZ1C5MN,0.085
PMT00000016,16,40.04,INR,CARD,Stripe,Captured,WXZB5OEQ,0.242
PMT00000017,17,82.0,INR,UPI,Stripe,Captured,GYUJGB5O,0.018
PMT00000018,18,263.56,INR,CASH,Cashdesk,Captured,72HUN8FI,0.28
PMT00000019,19,69.72,INR,UPI,Cashdesk,Captured,ABDJQVIO,0.034
PMT00000020,20,62.75,INR,CARD,PayU,Captured,ZWQDBDPV,0.057
PMT00000021,21,39.92,INR,UPI,Cashdesk,Captured,MUB4F0MI,0.052
PMT00000022,22,97.87,INR,CARD,Cashdesk,Captured,3U41VSVD,0.162
PMT00000023,23,179.73,INR,UPI,Cashdesk,Captured,EPHVPKFA,0.017
PMT00000024,24,71.93,INR,UPI,PayU,Captured,D2LGUQIO,0.113
PMT00000025,25,54.88,INR,UPI,Stripe,Captured,7ICKU92Q,0.174
PMT00000026,26,76.65,INR,CARD,PayU,Pending,QG1KWH54,0.045
PMT00000027,27,185.22,INR,UPI,Razorpay,Captured,9NRMOZL6,0.273
PMT00000028,28,49.66,INR,CARD,PayU,Pending,6B3JTAKK,0.089
PMT00000029,29,65.71,INR,CASH,Cashdesk,Captured,BKVPMIOK,0.089
PMT00000030,30,60.63,INR,CARD,Stripe,Captured,YENV7H2I,0.285
PMT00000031,31,128.52,INR,CARD,PayU,Captured,396YFI7E,0.067
PMT00000032,32,16.96,INR,UPI,Stripe,Captured,CR5P8AAC,0.26
PMT00000033,33,51.2,INR,WALLET,PayU,Captured,9V9J2FUW,0.07
PMT00000034,34,384.8,INR,UPI,Cashdesk,Pending,OY22CM5A,0.19
PMT00000035,35,56.39,INR,UPI,Stripe,Captured,0Q2OAZFU,0.212
PMT00000036,36,72.05,INR,CARD,Stripe,Captured,P4O5XKQR,0.07
PMT00000037,37,45.97,INR,UPI,Cashdesk,Captured,7ZKXEWV0,0.061
PMT00000038,38,48.67,INR,CARD,PayU,Captured,3JUWLIUV,0.123
PMT00000039,39,117.74,INR,UPI,Razorpay,Captured,VG9MSUIQ,0.359
PMT00000040,40,45.0,INR,WALLET,Razorpay,Captured,ARJI6YB9,0.107
PMT00000041,41,185.34,INR,CARD,Razorpay,Captured,KRJWTG3F,0.213
PMT00000042,42,118.26,INR,UPI,Razorpay,Captured,CBIEDBZN,0.071
PMT00000043,43,122.51,INR,CARD,Razorpay,Captured,28J9BF63,0.112
PMT00000044,44,104.05,INR,CARD,Stripe,Captured,CWNNDLS3,0.015
PMT00000045,45,44.71,INR,CARD,Razorpay,Pending,I99MAZIY,0.106
PMT00000046,46,213.78,INR,CARD,Razorpay,Captured,QLR1M86O,0.075
PMT00000047,47,106.1,INR,CASH,PayU,Captured,9OA2EO4C,0.185
PMT00000048,48,67.68,INR,UPI,Stripe,Captured,ZIE5APCB,0.121
PMT00000049,49,48.82,INR,WALLET,PayU,Captured,N3YPQ5LY,0.045
PMT00000050,50,338.1,INR,WALLET,Cashdesk,Captured,B1BB61PD,0.04
PMT00000051,51,54.88,INR,WALLET,Stripe,Captured,3SUTHK9O,0.018
PMT00000052,52,92.0,INR,CASH,Cashdesk,Captured,OSZ0D3MP,0.117
PMT00000053,53,154.62,INR,CARD,PayU,Captured,VMOU1NGB,0.071
PMT00000054,54,58.26,INR,CASH,Cashdesk,Captured,AWTY7KFG,0.067
PMT00000055,55,29.36,INR,UPI,PayU,Captured,S0ZBTBOP,0.095
PMT00000056,56,541.17,INR,CARD,PayU,Captured,NXMKTO6J,0.264
PMT00000057,57,22.57,INR,CARD,Stripe,Pending,NSPN5MRD,0.198
PMT00000058,58,71.85,INR,UPI,PayU,Captured,Y23HK7DB,0.013
PMT00000059,59,79.0,INR,WALLET,Razorpay,Pending,FZET8P1H,0.189
PMT00000060,60,46.52,INR,CARD,Stripe,Captured,AHNYRVFO,0.184
PMT00000061,61,29.07,INR,CASH,Stripe,Captured,ADJC88KL,0.077
PMT00000062,62,147.66,INR,CARD,Razorpay,Captured,B9ZXVTH4,0.029
PMT00000063,63,91.39,INR,WALLET,Cashdesk,Captured,RLDHH2KS,0.078
PMT00000064,64,37.71,INR,CARD,Cashdesk,Captured,KLWWIAYZ,0.075
PMT00000065,65,130.58,INR,UPI,Stripe,Captured,O9ONSRHD,0.038
PMT00000066,66,133.8,INR,CASH,Cashdesk,Captured,QLOAEBI8,0.146
PMT00000067,67,26.12,INR,CARD,Razorpay,Captured,49DMXS03,0.164
PMT00000068,68,74.89,INR,CARD,Stripe,Captured,S6MOPZ24,0.042
PMT00000069,69,61.32,INR,CARD,Cashdesk,Pending,KJWBU2OL,0.06
PMT00000070,70,67.18,INR,CARD,Razorpay,Captured,34KKAF9Y,0.063
PMT00000071,71,167.53,INR,UPI,Razorpay,Captured,GC5ICNIC,0.072
PMT00000072,72,76.01,INR,CARD,Cashdesk,Captured,YW372VIU,0.065
PMT00000073,73,36.02,INR,WALLET,Razorpay,Captured,725U0332,0.183
PMT00000074,74,102.97,INR,CARD,Razorpay,Captured,8YFKRUYH,0.156
PMT00000075,75,70.69,INR,CARD,Stripe,Captured,D1SD44WL,0.164
PMT00000076,76,17.57,INR,CARD,Cashdesk,Pending,LE5YLQSO,0.158
PMT00000077,77,31.76,INR,UPI,PayU,Captured,9NDXSSCH,0.094
PMT00000078,78,40.79,INR,CARD,Cashdesk,Captured,E1QXRJB0,0.006
PMT00000079,79,128.96,INR,CARD,Stripe,Captured,QJWW8QVI,0.081
PMT00000080,80,65.88,INR,CARD,Razorpay,Captured,8WD3OKAN,0.083
PMT00000081,81,32.61,INR,UPI,PayU,Captured,M7ZUM7OD,0.158
PMT00000082,82,62.75,INR,WALLET,Cashdesk,Captured,XK2FIB7A,0.12
PMT00000083,83,15.49,INR,UPI,PayU,Captured,QKU1W3VS,0.316
PMT00000084,84,19.23,INR,CARD,Cashdesk,Captured,I3AB62AC,0.045
PMT00000085,85,26.16,INR,UPI,Stripe,Captured,6V337PD7,0.113
PMT00000086,86,41.58,INR,UPI,PayU,Captured,PBBWGDKD,0.153
PMT00000087,87,29.05,INR,UPI,Cashdesk,Captured,IIXKUOZM,0.138
PMT00000088,88,38.13,INR,UPI,Stripe,Captured,Y30M651L,0.114
PMT00000089,89,21.78,INR,UPI,PayU,Captured,OMZZ8WXQ,0.134
PMT00000090,90,51.58,INR,CARD,PayU,Captured,KP6JR07H,0.033
PMT00000091,91,308.91,INR,UPI,Razorpay,Pending,48IW5XNQ,0.027
PMT00000092,92,67.61,INR,CASH,Cashdesk,Captured,8JHE17O7,0.179
